,lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased,purchase_probability,lead_score,priority_level
0,L0001,Hasan Abad,14.9,garden_house,mixed_use,none,referral,"pump,lights",10.0,628.7,1,0.562716239829031,56.3,Medium
1,L0002,Madavan,32.1,rural_house,seasonal_garden,none,referral,"lights,TV",2.5,151.0,1,0.4927262711114919,49.3,Medium
2,L0003,Layzangan,82.1,garden_house,mixed_use,none,referral,"lights,fridge,TV",4.5,284.1,0,0.536800385459018,53.7,Medium
3,L0004,Dabiran,70.6,garden_house,seasonal_garden,unstable,local_ad,"lights,fridge",4.7,286.8,0,0.23741985599808704,23.7,Low
4,L0005,Jannat Shahr,24.8,garden_house,mixed_use,unstable,instagram,"lights,fridge",5.1,282.2,1,0.48838690807311813,48.8,Medium
5,L0006,Shahanan,8.2,garden_house,seasonal_garden,unstable,local_ad,"AC,fridge,lights",10.9,586.2,0,0.2286972717455196,22.9,Low
6,L0007,Pasakhan,25.7,garden_house,mixed_use,unstable,local_ad,"AC,fridge",9.1,378.0,0,0.29456671834058706,29.5,Low
7,L0008,Bargan,9.5,farm,agriculture,unstable,referral,"pump,fridge",11.1,761.7,1,0.8097877825876025,81.0,High
8,L0009,Bargan,11.6,rural_house,seasonal_garden,none,referral,"lights,TV",2.3,138.7,0,0.5290220135559048,52.9,Medium
9,L0010,Pasakhan,28.5,garden_house,seasonal_garden,none,local_ad,lights,1.3,96.5,0,0.19323353072405108,19.3,Low
10,L0011,Shamsabad,14.7,garden_house,seasonal_garden,unstable,local_ad,"lights,fridge",3.5,205.4,0,0.3156165688566156,31.6,Low
11,L0012,Bargan,12.3,garden_house,seasonal_garden,unstable,referral,"lights,fridge",4.0,283.5,0,0.4592574265409306,45.9,Medium
12,L0013,Tizab,18.3,farm,agriculture,none,instagram,"pump,lights",9.1,486.1,0,0.6911951689767786,69.1,Medium
13,L0014,Jannat Shahr,24.6,farm,agriculture,none,referral,"pump,lights",10.2,676.2,1,0.8130648492432581,81.3,High
14,L0015,Hasan Abad,13.5,garden_house,seasonal_garden,none,referral,"lights,fridge",3.6,238.2,1,0.5166926444048193,51.7,Medium
15,L0016,Rostaq,74.6,farm,agriculture,none,referral,"pump,AC",12.6,723.2,1,0.9054258109810658,90.5,High
16,L0017,Jannat Shahr,19.9,rural_house,primary_residence,unstable,returning_customer,"lights,fridge,TV",4.9,253.1,1,0.6546344480231274,65.5,Medium
17,L0018,Jamsi,16.4,farm,agriculture,none,referral,pump,8.5,621.0,1,0.8782196430128345,87.8,High
18,L0019,Hasan Abad,15.9,farm,agriculture,unstable,local_ad,"pump,AC",16.2,693.2,1,0.8260025149261535,82.6,High
19,L0020,Banouj,15.0,farm,agriculture,unstable,instagram,"pump,fridge",9.3,700.1,1,0.7107667253940665,71.1,High
20,L0021,Khosouyeh,46.5,garden_house,seasonal_garden,unstable,referral,"lights,TV",2.1,150.7,0,0.33978123120241244,34.0,Low
21,L0022,Dabiran,68.8,garden_house,agriculture,none,local_ad,"pump,lights",10.0,631.5,1,0.43973658037859564,44.0,Medium
22,L0023,Bakhtajerd,15.9,farm,agriculture,unstable,instagram,"pump,fridge",8.4,704.9,1,0.7245635164087549,72.5,High
23,L0024,Banouj,15.5,garden_house,primary_residence,unstable,referral,"lights,fridge",3.5,236.6,0,0.5949559023667208,59.5,Medium
24,L0025,Jannat Shahr,19.7,garden_house,seasonal_garden,none,referral,"lights,fridge",5.1,287.7,1,0.49091943361768403,49.1,Medium
25,L0026,Shamsabad,23.5,farm,agriculture,none,local_ad,"pump,lights",9.0,608.7,0,0.7210139294112438,72.1,High
26,L0027,Layzangan,79.2,rural_house,seasonal_garden,unstable,instagram,"lights,TV",2.2,178.6,0,0.24157049700262961,24.2,Low
27,L0028,Jannat Shahr,22.3,garden_house,seasonal_garden,unstable,referral,"lights,fridge,TV",5.9,308.6,1,0.3447528594138585,34.5,Low
28,L0029,Tizab,14.8,garden_house,seasonal_garden,none,instagram,lights,1.5,128.1,1,0.20613899099037525,20.6,Low
29,L0030,Madavan,34.6,farm,agriculture,none,referral,"lights,fridge,TV",5.2,303.4,1,0.8450743500593186,84.5,High
30,L0031,Pasakhan,23.5,garden_house,seasonal_garden,none,local_ad,"lights,TV",2.4,141.7,1,0.3052839982000331,30.5,Low
31,L0032,Sangcharak,3.2,farm,mixed_use,none,local_ad,"pump,AC",13.6,644.6,1,0.8354952791234689,83.5,High
32,L0033,Shamsabad,16.7,farm,agriculture,none,local_ad,"pump,lights",7.3,493.1,0,0.7306979839723196,73.1,High
33,L0034,Jannat Shahr,19.9,garden_house,seasonal_garden,none,returning_customer,lights,1.4,143.0,0,0.3965570412060538,39.7,Low
34,L0035,Dabiran,69.7,garden_house,seasonal_garden,none,referral,"lights,fridge",4.4,295.0,0,0.4194450592691232,41.9,Medium
35,L0036,Shahanan,10.6,farm,agriculture,unstable,returning_customer,"pump,lights",8.9,680.6,1,0.8549737505983362,85.5,High
36,L0037,Nidshahr,5.5,farm,primary_residence,unstable,referral,pump,8.0,470.4,1,0.7215461080798978,72.2,High
37,L0038,Dabiran,67.0,garden_house,seasonal_garden,none,local_ad,"AC,fridge,lights",10.1,562.3,0,0.2083669002077822,20.8,Low
38,L0039,Dabiran,70.1,farm,agriculture,unstable,,"pump,lights",8.5,585.9,0,0.7153981849111548,71.5,High
39,L0040,Shamsabad,15.3,farm,agriculture,none,instagram,pump,7.7,493.5,1,0.7895057576306029,79.0,High
40,L0041,Rostaq,69.8,farm,mixed_use,none,referral,"pump,lights",8.1,511.4,1,0.669200748785772,66.9,Medium
41,L0042,Pasakhan,31.5,farm,agriculture,none,referral,"pump,AC",11.9,749.3,1,0.9336495012849854,93.4,High
42,L0043,Sangcharak,5.5,garden_house,seasonal_garden,unstable,instagram,"lights,TV",1.9,135.2,1,0.2771060230660535,27.7,Low
43,L0044,Sangcharak,5.7,rural_house,seasonal_garden,none,local_ad,lights,2.0,157.3,0,0.27910269036667046,27.9,Low
44,L0045,Jannat Shahr,20.7,farm,agriculture,none,referral,"pump,lights",8.3,517.6,1,0.8123857178464619,81.2,High
45,L0046,Bakhtajerd,19.0,farm,agriculture,none,,"pump,lights",9.4,644.4,1,0.8227487288611596,82.3,High
46,L0047,Banouj,15.5,garden_house,,unstable,local_ad,"lights,fridge,TV",5.3,339.0,1,0.5588174941230631,55.9,Medium
47,L0048,Tizab,17.0,farm,mixed_use,none,returning_customer,"pump,fridge",10.1,686.0,1,0.8293900011680568,82.9,High
48,L0049,Jannat Shahr,22.0,rural_house,primary_residence,unstable,returning_customer,"lights,fridge",4.7,283.9,1,0.7242529952820993,72.4,High
49,L0050,Bakhtajerd,11.5,farm,mixed_use,none,instagram,"pump,AC",14.6,729.5,1,0.8248998277821153,82.5,High
50,L0051,Shamsabad,15.4,garden_house,agriculture,none,referral,"pump,lights",10.1,745.5,1,0.6893127152248815,68.9,Medium
51,L0052,Jamsi,15.2,garden_house,seasonal_garden,unstable,referral,"lights,fridge",4.8,307.3,1,0.4456184897825086,44.6,Medium
52,L0053,Banouj,18.6,farm,agriculture,none,referral,"pump,AC",12.6,795.0,1,0.9388926430007033,93.9,High
53,L0054,Banouj,14.8,rural_house,primary_residence,none,instagram,"AC,fridge",9.9,540.3,0,0.39333105580204636,39.3,Low
54,L0055,Jamsi,20.8,farm,mixed_use,unstable,returning_customer,"pump,AC",13.0,669.0,1,0.9021247702660291,90.2,High
55,L0056,Rostaq,66.7,garden_house,seasonal_garden,none,instagram,"lights,TV",1.9,146.8,1,0.24667384803324588,24.7,Low
56,L0057,Bakhtajerd,15.1,garden_house,seasonal_garden,unstable,instagram,"AC,fridge",9.5,498.5,0,0.1679104579737473,16.8,Low
57,L0058,Morvarid,38.2,farm,agriculture,none,referral,"pump,lights",9.7,729.3,1,0.8134353844595236,81.3,High
58,L0059,Banouj,16.8,rural_house,seasonal_garden,none,local_ad,"lights,fridge,TV",6.1,318.5,1,0.35707595820287974,35.7,Low
59,L0060,Jannat Shahr,20.3,farm,seasonal_garden,unstable,referral,"lights,fridge",4.6,303.7,0,0.6410824708735627,64.1,Medium
60,L0061,Shamsabad,15.9,rural_house,mixed_use,none,instagram,"AC,fridge",8.9,471.8,0,0.4613252083678001,46.1,Medium
61,L0062,Nidshahr,11.8,farm,primary_residence,none,instagram,pump,8.7,465.5,0,0.6288506010153007,62.9,Medium
62,L0063,Sangcharak,4.4,rural_house,seasonal_garden,unstable,instagram,"lights,TV",2.8,145.9,0,0.331317374886684,33.1,Low
63,L0064,Banouj,22.5,farm,agriculture,none,instagram,"pump,lights",10.3,700.2,0,0.7158364044275375,71.6,High
64,L0065,Jannat Shahr,22.8,garden_house,mixed_use,none,referral,"pump,lights",7.6,547.0,0,0.5718582956914829,57.2,Medium
65,L0066,Tizab,17.7,farm,mixed_use,none,instagram,pump,10.4,625.7,0,0.694421871283244,69.4,Medium
66,L0067,Sangcharak,6.9,rural_house,primary_residence,none,referral,"AC,fridge",9.4,472.3,1,0.540997666361489,54.1,Medium
67,L0068,Nidshahr,6.3,garden_house,mixed_use,none,referral,"lights,fridge",5.0,280.5,1,0.7166023552124962,71.7,High
68,L0069,Banouj,12.1,farm,agriculture,none,instagram,"pump,AC",13.5,741.9,1,0.8878624551533542,88.8,High
69,L0070,Shamsabad,23.5,farm,agriculture,none,returning_customer,"pump,lights",9.3,564.2,0,0.8558546971731051,85.6,High
70,L0071,Rostaq,74.2,farm,agriculture,none,local_ad,"pump,lights",9.3,633.5,0,0.6453690712967153,64.5,Medium
71,L0072,Zarrindasht,67.6,garden_house,seasonal_garden,none,local_ad,"lights,TV",2.6,200.0,0,0.25321111423362785,25.3,Low
72,L0073,Hasan Abad,14.2,rural_house,primary_residence,none,local_ad,"lights,fridge,TV",5.0,296.4,0,0.5185426642260309,51.9,Medium
73,L0074,Bakhtajerd,11.1,garden_house,mixed_use,unstable,local_ad,"AC,fridge,lights",12.6,693.6,0,0.40715016288756173,40.7,Medium
74,L0075,Shamsabad,18.7,garden_house,seasonal_garden,none,referral,lights,1.3,137.6,0,0.3165534042397692,31.7,Low
75,L0076,Layzangan,79.0,rural_house,primary_residence,none,referral,"lights,TV",3.1,200.0,0,0.5585523186720018,55.9,Medium
76,L0077,Tizab,20.2,farm,agriculture,none,instagram,"pump,fridge",8.1,562.7,1,0.742585507153481,74.3,High
77,L0078,Jamsi,21.7,farm,,none,referral,"pump,fridge",8.4,561.6,1,0.8326823881431729,83.3,High
78,L0079,Shamsabad,18.4,garden_house,primary_residence,none,referral,"lights,fridge,TV",6.2,377.6,0,0.5701300046383267,57.0,Medium
79,L0080,Zarrindasht,66.5,rural_house,primary_residence,none,referral,"lights,fridge",3.5,240.3,1,0.6446434636772297,64.5,Medium
80,L0081,Jannat Shahr,19.9,rural_house,mixed_use,none,,"AC,fridge,lights",12.5,679.0,1,0.6599699376370352,66.0,Medium
81,L0082,Nidshahr,10.7,farm,seasonal_garden,none,instagram,"pump,lights",8.6,555.3,1,0.4204981335229431,42.0,Medium
82,L0083,Shahanan,9.0,rural_house,mixed_use,none,returning_customer,"lights,TV",2.4,143.6,1,0.7961747356338329,79.6,High
83,L0084,Jamsi,12.4,farm,agriculture,none,referral,"pump,fridge",9.5,555.1,1,0.8289652671723826,82.9,High
84,L0085,Jamsi,19.8,garden_house,seasonal_garden,unstable,local_ad,"lights,fridge,TV",5.9,323.0,1,0.23988995279216813,24.0,Low
85,L0086,Dabiran,69.2,garden_house,seasonal_garden,none,referral,"AC,fridge,lights",11.7,637.7,0,0.3007355412176193,30.1,Low
86,L0087,Pasakhan,26.7,garden_house,agriculture,none,referral,"lights,fridge",4.3,294.3,0,0.7822633112012577,78.2,High
87,L0088,Shahanan,6.5,rural_house,mixed_use,none,local_ad,lights,1.5,126.1,1,0.47984235945136045,48.0,Medium
88,L0089,Khosouyeh,42.0,rural_house,primary_residence,unstable,referral,"AC,fridge",8.4,464.5,1,0.4323294327716885,43.2,Medium
89,L0090,Banouj,22.5,farm,agriculture,none,referral,"pump,lights",7.7,553.6,1,0.8233621149264323,82.3,High
90,L0091,Jamsi,11.4,farm,mixed_use,none,instagram,"pump,AC",15.9,830.0,1,0.8268399314354855,82.7,High
91,L0092,Khosouyeh,48.0,farm,agriculture,none,referral,"pump,AC",15.4,817.2,1,0.9118138321617846,91.2,High
92,L0093,Badameh,62.8,garden_house,mixed_use,unstable,referral,"pump,lights",7.7,482.6,1,0.41839148750472405,41.8,Medium
93,L0094,Rostaq,70.7,farm,mixed_use,unstable,referral,pump,7.9,539.3,0,0.703868525217214,70.4,High
94,L0095,Banouj,18.1,garden_house,mixed_use,none,local_ad,"AC,fridge",12.0,657.2,0,0.3843015027070535,38.4,Low
95,L0096,Banouj,10.5,farm,agriculture,none,local_ad,pump,9.6,610.3,1,0.7983380311339207,79.8,High
96,L0097,Nidshahr,7.8,garden_house,seasonal_garden,none,instagram,"lights,fridge,TV",6.3,348.0,1,0.2997299502819151,30.0,Low
97,L0098,Banouj,16.5,garden_house,seasonal_garden,none,returning_customer,"AC,fridge",10.3,525.8,0,0.3911161768420568,39.1,Low
98,L0099,Bargan,11.7,garden_house,seasonal_garden,none,local_ad,"AC,fridge,lights",11.3,639.5,1,0.2783494214287971,27.8,Low
99,L0100,Hasan Abad,14.7,garden_house,primary_residence,none,referral,"lights,fridge,TV",5.5,286.7,0,0.5646995939317546,56.5,Medium
100,L0101,Rostaq,70.5,farm,mixed_use,unstable,referral,"pump,lights",9.2,585.1,1,0.6080730951616428,60.8,Medium
101,L0102,Shahanan,7.6,rural_house,mixed_use,unstable,instagram,"lights,fridge",4.9,297.9,1,0.6018162474863447,60.2,Medium
102,L0103,Jamsi,13.5,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",4.8,279.7,1,0.24814618606183245,24.8,Low
103,L0104,Tizab,17.7,farm,agriculture,none,referral,"pump,fridge",10.7,702.8,1,0.8340284122280329,83.4,High
104,L0105,Badameh,64.3,garden_house,seasonal_garden,none,local_ad,lights,1.9,190.8,0,0.16512003353686025,16.5,Low
105,L0106,Nidshahr,5.4,rural_house,seasonal_garden,unstable,local_ad,"AC,fridge,lights",13.2,705.2,0,0.2822595771827031,28.2,Low
106,L0107,Nidshahr,6.6,garden_house,agriculture,unstable,local_ad,"pump,fridge",8.2,595.5,0,0.5343720793161124,53.4,Medium
107,L0108,Shamsabad,16.0,rural_house,primary_residence,none,instagram,"lights,fridge",4.3,275.8,0,0.5861281048870747,58.6,Medium
108,L0109,Shamsabad,17.2,farm,mixed_use,none,local_ad,"pump,fridge",8.5,577.7,0,0.6630207145581456,66.3,Medium
109,L0110,Layzangan,80.4,farm,mixed_use,none,referral,pump,6.8,564.5,1,0.762952994501767,76.3,High
110,L0111,Khosouyeh,40.5,garden_house,mixed_use,unstable,referral,"lights,fridge,TV",4.7,283.6,1,0.5410793717924185,54.1,Medium
111,L0112,Nidshahr,10.8,farm,mixed_use,none,local_ad,pump,9.2,468.6,1,0.6943958272078242,69.4,Medium
112,L0113,Shahanan,2.5,farm,agriculture,none,,"pump,fridge",12.5,848.0,1,0.8513855151541022,85.1,High
113,L0114,Badameh,65.6,garden_house,seasonal_garden,unstable,instagram,"lights,fridge",3.5,225.8,0,0.24170059888337248,24.2,Low
114,L0115,Hasan Abad,19.8,farm,agriculture,unstable,referral,"pump,lights",10.2,629.9,1,0.7673306512492095,76.7,High
115,L0116,Layzangan,79.7,garden_house,mixed_use,none,referral,"lights,fridge",4.8,324.9,1,0.6172862710174095,61.7,Medium
116,L0117,Shahanan,6.5,rural_house,agriculture,none,local_ad,pump,7.7,484.7,1,0.7093428313300568,70.9,High
117,L0118,Shahanan,8.8,rural_house,agriculture,none,instagram,"pump,lights",9.4,627.7,0,0.6203206381641583,62.0,Medium
118,L0119,Hasan Abad,14.9,farm,agriculture,none,local_ad,"pump,fridge",8.6,626.5,1,0.762241029147854,76.2,High
119,L0120,Jannat Shahr,25.1,farm,agriculture,unstable,returning_customer,"pump,fridge",10.2,576.5,0,0.8264700702265478,82.6,High
120,L0121,Morvarid,40.1,farm,agriculture,none,referral,pump,8.0,593.2,1,0.8601730125025393,86.0,High
121,L0122,Hasan Abad,14.8,garden_house,,none,instagram,"lights,TV",2.5,157.5,0,0.6245713906229233,62.5,Medium
122,L0123,Badameh,66.8,garden_house,mixed_use,unstable,instagram,"AC,fridge,lights",11.0,568.3,1,0.30593692522869986,30.6,Low
123,L0124,Morvarid,35.3,garden_house,seasonal_garden,unstable,instagram,"lights,fridge",4.7,310.7,0,0.28334650833979336,28.3,Low
124,L0125,Shahanan,7.5,rural_house,seasonal_garden,unstable,local_ad,"AC,fridge",8.7,439.5,1,0.22959386854709957,23.0,Low
125,L0126,Bargan,12.0,farm,agriculture,unstable,local_ad,"pump,fridge",8.8,709.4,0,0.7318901829544698,73.2,High
126,L0127,Nidshahr,9.9,farm,mixed_use,none,referral,"pump,fridge",9.3,544.2,1,0.7638400440483778,76.4,High
127,L0128,Badameh,65.0,farm,agriculture,none,instagram,pump,8.4,581.0,1,0.7345280958780078,73.5,High
128,L0129,Dabiran,69.9,garden_house,mixed_use,unstable,referral,"lights,fridge,TV",5.2,303.6,0,0.48564760174963784,48.6,Medium
129,L0130,Jamsi,14.9,farm,agriculture,unstable,local_ad,"pump,fridge",9.5,780.4,1,0.7329592550196588,73.3,High
130,L0131,Banouj,14.9,farm,agriculture,none,instagram,"pump,AC",12.1,718.7,1,0.8938683090101215,89.4,High
131,L0132,Morvarid,33.1,garden_house,seasonal_garden,none,referral,"lights,TV",1.7,144.0,0,0.42835788842061234,42.8,Medium
132,L0133,Hasan Abad,12.4,rural_house,primary_residence,none,returning_customer,"lights,fridge,TV",4.8,271.7,0,0.7269354872733306,72.7,High
133,L0134,Madavan,33.6,rural_house,,none,instagram,"AC,fridge",7.9,363.3,1,0.5252916873434279,52.5,Medium
134,L0135,Pasakhan,23.2,rural_house,primary_residence,none,referral,"lights,fridge,TV",4.9,297.1,0,0.6374472164597196,63.7,Medium
135,L0136,Shahanan,9.6,garden_house,agriculture,unstable,instagram,"pump,lights",7.2,484.6,0,0.48233435696491245,48.2,Medium
136,L0137,Shahanan,3.5,farm,agriculture,none,referral,"pump,AC",16.2,761.5,1,0.9258271899117201,92.6,High
137,L0138,Layzangan,87.1,farm,mixed_use,unstable,returning_customer,pump,7.9,468.9,1,0.737273069815697,73.7,High
138,L0139,Madavan,33.0,rural_house,agriculture,none,instagram,pump,8.9,559.7,0,0.6599274789967734,66.0,Medium
139,L0140,Jamsi,12.2,garden_house,agriculture,none,local_ad,pump,6.2,436.8,0,0.6474135903067465,64.7,Medium
140,L0141,Dabiran,66.2,garden_house,primary_residence,none,referral,"lights,fridge",5.5,327.7,1,0.5587598381964783,55.9,Medium
141,L0142,Shahanan,7.6,garden_house,seasonal_garden,unstable,instagram,"lights,fridge,TV",5.1,241.8,0,0.2436822364818524,24.4,Low
142,L0143,Pasakhan,24.9,rural_house,agriculture,unstable,referral,pump,8.4,513.5,1,0.7365080991035986,73.7,High
