lead_id,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased
L0001,"pump,lights",10.0,628.7,1
L0002,"lights,TV",2.5,151.0,1
L0003,"lights,fridge,TV",4.5,284.1,0
L0004,"lights,fridge",4.7,286.8,0
L0005,"lights,fridge",5.1,282.2,1
L0006,"AC,fridge,lights",10.9,586.2,0
L0007,"AC,fridge",9.1,378.0,0
L0008,"pump,fridge",11.1,761.7,1
L0009,"lights,TV",2.3,138.7,0
L0010,lights,1.3,96.5,0
L0011,"lights,fridge",3.5,205.4,0
L0012,"lights,fridge",4.0,283.5,0
L0013,"pump,lights",9.1,486.1,0
L0014,"pump,lights",10.2,676.2,1
L0015,"lights,fridge",3.6,238.2,1
L0016,"pump,AC",12.6,723.2,1
L0017,"lights,fridge,TV",4.9,253.1,1
L0018,pump,8.5,621.0,1
L0019,"pump,AC",16.2,693.2,1
L0020,"pump,fridge",9.3,700.1,1
L0021,"lights,TV",2.1,150.7,0
L0022,"pump,lights",10.0,631.5,1
L0023,"pump,fridge",8.4,704.9,1
L0024,"lights,fridge",3.5,236.6,0
L0025,"lights,fridge",5.1,287.7,1
L0026,"pump,lights",9.0,608.7,0
L0027,"lights,TV",2.2,178.6,0
L0028,"lights,fridge,TV",5.9,308.6,1
L0029,lights,1.5,128.1,1
L0030,"lights,fridge,TV",5.2,303.4,1
L0031,"lights,TV",2.4,141.7,1
L0032,"pump,AC",13.6,644.6,1
L0033,"pump,lights",7.3,493.1,0
L0034,lights,1.4,143.0,0
L0035,"lights,fridge",4.4,295.0,0
L0036,"pump,lights",8.9,680.6,1
L0037,pump,8.0,470.4,1
L0038,"AC,fridge,lights",10.1,562.3,0
L0039,"pump,lights",8.5,585.9,0
L0040,pump,7.7,493.5,1
L0041,"pump,lights",8.1,511.4,1
L0042,"pump,AC",11.9,749.3,1
L0043,"lights,TV",1.9,135.2,1
L0044,lights,2.0,157.3,0
L0045,"pump,lights",8.3,517.6,1
L0046,"pump,lights",9.4,644.4,1
L0047,"lights,fridge,TV",5.3,339.0,1
L0048,"pump,fridge",10.1,686.0,1
L0049,"lights,fridge",4.7,283.9,1
L0050,"pump,AC",14.6,729.5,1
L0051,"pump,lights",10.1,745.5,1
L0052,"lights,fridge",4.8,307.3,1
L0053,"pump,AC",12.6,795.0,1
L0054,"AC,fridge",9.9,540.3,0
L0055,"pump,AC",13.0,669.0,1
L0056,"lights,TV",1.9,146.8,1
L0057,"AC,fridge",9.5,498.5,0
L0058,"pump,lights",9.7,729.3,1
L0059,"lights,fridge,TV",6.1,318.5,1
L0060,"lights,fridge",4.6,303.7,0
L0061,"AC,fridge",8.9,471.8,0
L0062,pump,8.7,465.5,0
L0063,"lights,TV",2.8,145.9,0
L0064,"pump,lights",10.3,700.2,0
L0065,"pump,lights",7.6,547.0,0
L0066,pump,10.4,625.7,0
L0067,"AC,fridge",9.4,472.3,1
L0068,"lights,fridge",5.0,280.5,1
L0069,"pump,AC",13.5,741.9,1
L0070,"pump,lights",9.3,564.2,0
L0071,"pump,lights",9.3,633.5,0
L0072,"lights,TV",2.6,200.0,0
L0073,"lights,fridge,TV",5.0,296.4,0
L0074,"AC,fridge,lights",12.6,693.6,0
L0075,lights,1.3,137.6,0
L0076,"lights,TV",3.1,200.0,0
L0077,"pump,fridge",8.1,562.7,1
L0078,"pump,fridge",8.4,561.6,1
L0079,"lights,fridge,TV",6.2,377.6,0
L0080,"lights,fridge",3.5,240.3,1
L0081,"AC,fridge,lights",12.5,679.0,1
L0082,"pump,lights",8.6,555.3,1
L0083,"lights,TV",2.4,143.6,1
L0084,"pump,fridge",9.5,555.1,1
L0085,"lights,fridge,TV",5.9,323.0,1
L0086,"AC,fridge,lights",11.7,637.7,0
L0087,"lights,fridge",4.3,294.3,0
L0088,lights,1.5,126.1,1
L0089,"AC,fridge",8.4,464.5,1
L0090,"pump,lights",7.7,553.6,1
L0091,"pump,AC",15.9,830.0,1
L0092,"pump,AC",15.4,817.2,1
L0093,"pump,lights",7.7,482.6,1
L0094,pump,7.9,539.3,0
L0095,"AC,fridge",12.0,657.2,0
L0096,pump,9.6,610.3,1
L0097,"lights,fridge,TV",6.3,348.0,1
L0098,"AC,fridge",10.3,525.8,0
L0099,"AC,fridge,lights",11.3,639.5,1
L0100,"lights,fridge,TV",5.5,286.7,0
L0101,"pump,lights",9.2,585.1,1
L0102,"lights,fridge",4.9,297.9,1
L0103,"lights,fridge,TV",4.8,279.7,1
L0104,"pump,fridge",10.7,702.8,1
L0105,lights,1.9,190.8,0
L0106,"AC,fridge,lights",13.2,705.2,0
L0107,"pump,fridge",8.2,595.5,0
L0108,"lights,fridge",4.3,275.8,0
L0109,"pump,fridge",8.5,577.7,0
L0110,pump,6.8,564.5,1
L0111,"lights,fridge,TV",4.7,283.6,1
L0112,pump,9.2,468.6,1
L0113,"pump,fridge",12.5,848.0,1
L0114,"lights,fridge",3.5,225.8,0
L0115,"pump,lights",10.2,629.9,1
L0116,"lights,fridge",4.8,324.9,1
L0117,pump,7.7,484.7,1
L0118,"pump,lights",9.4,627.7,0
L0119,"pump,fridge",8.6,626.5,1
L0120,"pump,fridge",10.2,576.5,0
L0121,pump,8.0,593.2,1
L0122,"lights,TV",2.5,157.5,0
L0123,"AC,fridge,lights",11.0,568.3,1
L0124,"lights,fridge",4.7,310.7,0
L0125,"AC,fridge",8.7,439.5,1
L0126,"pump,fridge",8.8,709.4,0
L0127,"pump,fridge",9.3,544.2,1
L0128,pump,8.4,581.0,1
L0129,"lights,fridge,TV",5.2,303.6,0
L0130,"pump,fridge",9.5,780.4,1
L0131,"pump,AC",12.1,718.7,1
L0132,"lights,TV",1.7,144.0,0
L0133,"lights,fridge,TV",4.8,271.7,0
L0134,"AC,fridge",7.9,363.3,1
L0135,"lights,fridge,TV",4.9,297.1,0
L0136,"pump,lights",7.2,484.6,0
L0137,"pump,AC",16.2,761.5,1
L0138,pump,7.9,468.9,1
L0139,pump,8.9,559.7,0
L0140,pump,6.2,436.8,0
L0141,"lights,fridge",5.5,327.7,1
L0142,"lights,fridge,TV",5.1,241.8,0
L0143,pump,8.4,513.5,1
L0144,"pump,fridge",8.1,547.1,1
L0145,"pump,lights",10.8,670.9,1
L0146,"pump,lights",9.0,668.3,1
L0147,"pump,fridge",10.2,608.3,1
L0148,"AC,fridge,lights",11.8,589.9,1
L0149,"lights,fridge,TV",6.4,375.5,0
L0150,lights,2.1,158.8,0
L0151,pump,8.0,570.6,1
L0152,"AC,fridge",9.8,455.4,0
L0153,"pump,fridge",11.2,696.1,0
L0154,"AC,fridge,lights",11.9,615.4,1
L0155,"lights,fridge,TV",5.1,292.4,1
L0156,"pump,fridge",10.4,707.1,0
L0157,"lights,fridge",4.4,274.6,1
