lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source
L0001,Hasan Abad,14.9,garden_house,mixed_use,none,referral
L0002,Madavan,32.1,rural_house,seasonal_garden,none,referral
L0003,Layzangan,82.1,garden_house,mixed_use,none,referral
L0004,Dabiran,70.6,garden_house,seasonal_garden,unstable,local_ad
L0005,Jannat Shahr,24.8,garden_house,mixed_use,unstable,instagram
L0006,Shahanan,8.2,garden_house,seasonal_garden,unstable,local_ad
L0007,Pasakhan,25.7,garden_house,mixed_use,unstable,local_ad
L0008,Bargan,9.5,farm,agriculture,unstable,referral
L0009,Bargan,11.6,rural_house,seasonal_garden,none,referral
L0010,Pasakhan,28.5,garden_house,seasonal_garden,none,local_ad
L0011,Shamsabad,14.7,garden_house,seasonal_garden,unstable,local_ad
L0012,Bargan,12.3,garden_house,seasonal_garden,unstable,referral
L0013,Tizab,18.3,farm,agriculture,none,instagram
L0014,Jannat Shahr,24.6,farm,agriculture,none,referral
L0015,Hasan Abad,13.5,garden_house,seasonal_garden,none,referral
L0016,Rostaq,74.6,farm,agriculture,none,referral
L0017,Jannat Shahr,19.9,rural_house,primary_residence,unstable,returning_customer
L0018,Jamsi,16.4,farm,agriculture,none,referral
L0019,Hasan Abad,15.9,farm,agriculture,unstable,local_ad
L0020,Banouj,15.0,farm,agriculture,unstable,instagram
L0021,Khosouyeh,46.5,garden_house,seasonal_garden,unstable,referral
L0022,Dabiran,68.8,garden_house,agriculture,none,local_ad
L0023,Bakhtajerd,15.9,farm,agriculture,unstable,instagram
L0024,Banouj,15.5,garden_house,primary_residence,unstable,referral
L0025,Jannat Shahr,19.7,garden_house,seasonal_garden,none,referral
L0026,Shamsabad,23.5,farm,agriculture,none,local_ad
L0027,Layzangan,79.2,rural_house,seasonal_garden,unstable,instagram
L0028,Jannat Shahr,22.3,garden_house,seasonal_garden,unstable,referral
L0029,Tizab,14.8,garden_house,seasonal_garden,none,instagram
L0030,Madavan,34.6,farm,agriculture,none,referral
L0031,Pasakhan,23.5,garden_house,seasonal_garden,none,local_ad
L0032,Sangcharak,3.2,farm,mixed_use,none,local_ad
L0033,Shamsabad,16.7,farm,agriculture,none,local_ad
L0034,Jannat Shahr,19.9,garden_house,seasonal_garden,none,returning_customer
L0035,Dabiran,69.7,garden_house,seasonal_garden,none,referral
L0036,Shahanan,10.6,farm,agriculture,unstable,returning_customer
L0037,Nidshahr,5.5,farm,primary_residence,unstable,referral
L0038,Dabiran,67.0,garden_house,seasonal_garden,none,local_ad
L0039,Dabiran,70.1,farm,agriculture,unstable,
L0040,Shamsabad,15.3,farm,agriculture,none,instagram
L0041,Rostaq,69.8,farm,mixed_use,none,referral
L0042,Pasakhan,31.5,farm,agriculture,none,referral
L0043,Sangcharak,5.5,garden_house,seasonal_garden,unstable,instagram
L0044,Sangcharak,5.7,rural_house,seasonal_garden,none,local_ad
L0045,Jannat Shahr,20.7,farm,agriculture,none,referral
L0046,Bakhtajerd,19.0,farm,agriculture,none,
L0047,Banouj,15.5,garden_house,,unstable,local_ad
L0048,Tizab,17.0,farm,mixed_use,none,returning_customer
L0049,Jannat Shahr,22.0,rural_house,primary_residence,unstable,returning_customer
L0050,Bakhtajerd,11.5,farm,mixed_use,none,instagram
L0051,Shamsabad,15.4,garden_house,agriculture,none,referral
L0052,Jamsi,15.2,garden_house,seasonal_garden,unstable,referral
L0053,Banouj,18.6,farm,agriculture,none,referral
L0054,Banouj,14.8,rural_house,primary_residence,none,instagram
L0055,Jamsi,20.8,farm,mixed_use,unstable,returning_customer
L0056,Rostaq,66.7,garden_house,seasonal_garden,none,instagram
L0057,Bakhtajerd,15.1,garden_house,seasonal_garden,unstable,instagram
L0058,Morvarid,38.2,farm,agriculture,none,referral
L0059,Banouj,16.8,rural_house,seasonal_garden,none,local_ad
L0060,Jannat Shahr,20.3,farm,seasonal_garden,unstable,referral
L0061,Shamsabad,15.9,rural_house,mixed_use,none,instagram
L0062,Nidshahr,11.8,farm,primary_residence,none,instagram
L0063,Sangcharak,4.4,rural_house,seasonal_garden,unstable,instagram
L0064,Banouj,22.5,farm,agriculture,none,instagram
L0065,Jannat Shahr,22.8,garden_house,mixed_use,none,referral
L0066,Tizab,17.7,farm,mixed_use,none,instagram
L0067,Sangcharak,6.9,rural_house,primary_residence,none,referral
L0068,Nidshahr,6.3,garden_house,mixed_use,none,referral
L0069,Banouj,12.1,farm,agriculture,none,instagram
L0070,Shamsabad,23.5,farm,agriculture,none,returning_customer
L0071,Rostaq,74.2,farm,agriculture,none,local_ad
