lead_id,village,distance_from_darab_km,property_type,usage_purpose,electricity_access,lead_source,required_appliances,estimated_daily_energy_need_kwh,quoted_price_m_toman,purchased
L0001,Hasan Abad,14.9,garden_house,mixed_use,none,referral,"pump,lights",10.0,628.7,1
L0002,Madavan,32.1,rural_house,seasonal_garden,none,referral,"lights,TV",2.5,151.0,1
L0003,Layzangan,82.1,garden_house,mixed_use,none,referral,"lights,fridge,TV",4.5,284.1,0
L0004,Dabiran,70.6,garden_house,seasonal_garden,unstable,local_ad,"lights,fridge",4.7,286.8,0
L0005,Jannat Shahr,24.8,garden_house,mixed_use,unstable,instagram,"lights,fridge",5.1,282.2,1
L0006,Shahanan,8.2,garden_house,seasonal_garden,unstable,local_ad,"AC,fridge,lights",10.9,586.2,0
L0007,Pasakhan,25.7,garden_house,mixed_use,unstable,local_ad,"AC,fridge",9.1,378.0,0
L0008,Bargan,9.5,farm,agriculture,unstable,referral,"pump,fridge",11.1,761.7,1
L0009,Bargan,11.6,rural_house,seasonal_garden,none,referral,"lights,TV",2.3,138.7,0
L0010,Pasakhan,28.5,garden_house,seasonal_garden,none,local_ad,lights,1.3,96.5,0
L0011,Shamsabad,14.7,garden_house,seasonal_garden,unstable,local_ad,"lights,fridge",3.5,205.4,0
L0012,Bargan,12.3,garden_house,seasonal_garden,unstable,referral,"lights,fridge",4.0,283.5,0
L0013,Tizab,18.3,farm,agriculture,none,instagram,"pump,lights",9.1,486.1,0
L0014,Jannat Shahr,24.6,farm,agriculture,none,referral,"pump,lights",10.2,676.2,1
L0015,Hasan Abad,13.5,garden_house,seasonal_garden,none,referral,"lights,fridge",3.6,238.2,1
L0016,Rostaq,74.6,farm,agriculture,none,referral,"pump,AC",12.6,723.2,1
L0017,Jannat Shahr,19.9,rural_house,primary_residence,unstable,returning_customer,"lights,fridge,TV",4.9,253.1,1
L0018,Jamsi,16.4,farm,agriculture,none,referral,pump,8.5,621.0,1
L0019,Hasan Abad,15.9,farm,agriculture,unstable,local_ad,"pump,AC",16.2,693.2,1
L0020,Banouj,15.0,farm,agriculture,unstable,instagram,"pump,fridge",9.3,700.1,1
L0021,Khosouyeh,46.5,garden_house,seasonal_garden,unstable,referral,"lights,TV",2.1,150.7,0
L0022,Dabiran,68.8,garden_house,agriculture,none,local_ad,"pump,lights",10.0,631.5,1
L0023,Bakhtajerd,15.9,farm,agriculture,unstable,instagram,"pump,fridge",8.4,704.9,1
L0024,Banouj,15.5,garden_house,primary_residence,unstable,referral,"lights,fridge",3.5,236.6,0
L0025,Jannat Shahr,19.7,garden_house,seasonal_garden,none,referral,"lights,fridge",5.1,287.7,1
L0026,Shamsabad,23.5,farm,agriculture,none,local_ad,"pump,lights",9.0,608.7,0
L0027,Layzangan,79.2,rural_house,seasonal_garden,unstable,instagram,"lights,TV",2.2,178.6,0
